package_name,app_name,label,developer,permissions
com.jzh.xjh,闪电借钱-贷款借款,金融理财/贷款,沧源佤族自治县恒万霖小额贷款有限公司,访问大概位置 | 精确位置权限 | 查看网络状态 | 开关WLAN | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制媒体音量 | 获取手机信息 | 录音 | 写入文件与文档 | 控制振动器 | 防止手机休眠 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 管理所有文件
com.hrxt.echannel.app,华润信托,金融理财/基金,华润深国投信托有限公司,查看网络状态 | 开关WLAN | 开关蓝牙 | 拍摄照片和视频 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制媒体音量 | 装载和卸载文件系统 | 获取手机信息 | 开机时自动启动 | 录音 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档 | android.permission.USE_FINGERPRINT | android.permission.USE_BIOMETRIC | android.permission.SCHEDULE_EXACT_ALARM | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 运行前台服务
com.csii.bj.ui,掌上京彩,金融理财/银行,北京银行股份有限公司信用卡中心,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 蓝牙管理 | 拍摄照片和视频 | 更改网络连接性 | 完全的互联网访问权限 | 检索当前运行的应用程序 | 控制媒体音量 | 装载和卸载文件系统 | 拦截外拨电话 | 获取手机信息 | 录音 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档 | android.permission.USE_FINGERPRINT | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | android.permission.MANAGE_DOCUMENTS | 运行前台服务
cn.bolz.enterprise.mobilebank.liuzhou,柳行企业银行,金融理财/银行,柳州银行股份有限公司,访问大概位置 | 精确位置权限 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 蓝牙管理 | 发送持久广播 | 拨打电话 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 检索当前运行的应用程序 | 结束后台进程 | 更新组件使用情况统计 | 读取联系人 | 获取手机信息 | 开机时自动启动 | 录音 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 读取文件与文档 | android.permission.USE_FINGERPRINT | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 后台位置权限 | android.permission.BLUETOOTH_ADVERTISE | 连接到配对的蓝牙设备 | 允许应用程序在没有用户交互的情况下配对蓝牙设备 | android.permission.BLUETOOTH_SCAN | 运行前台服务
com.yitong.zjrc.mfs.android,丰收互联,金融理财/银行,浙江农村商业联合银行股份有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 蓝牙管理 | 拍摄照片和视频 | 更改用户界面设置 | 更改网络连接性 | 允许接收 Wi-Fi 多播 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 结束后台进程 | 控制媒体音量 | 装载和卸载文件系统 | 使用NFC | 读取联系人 | 读取浏览器的历史记录和书签 | 查阅敏感日志数据 | 获取手机信息 | 录音 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档 | 添加桌面快捷方式 | android.permission.USE_FINGERPRINT | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 允许应用程序在没有用户交互的情况下配对蓝牙设备 | 运行前台服务
com.android.haitong,国泰海通通财-股票证券开户,金融理财/股票,国泰海通证券股份有限公司,访问大概位置 | 精确位置权限 | 查看网络状态 | 访问 SurfaceFlinger | 开关WLAN | 开关蓝牙 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 检索当前运行的应用程序 | 结束后台进程 | 控制媒体音量 | 格式化外部存储设备 | 装载和卸载文件系统 | 使用NFC | 获取手机信息 | 录音 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 添加/修改日历活动 | 修改系统设置项 | 访问日历 | 读取文件与文档 | 添加桌面快捷方式 | android.permission.USE_FINGERPRINT | android.permission.USE_BIOMETRIC | android.permission.SCHEDULE_EXACT_ALARM | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | android.permission.POST_NOTIFICATIONS | 运行前台服务 | android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK
com.yf.workbench,乐收赢展业,金融理财/支付,银飞数智（广东）科技有限公司,查看网络状态 | 开关WLAN | 拨打电话 | 拍摄照片和视频 | 完全的互联网访问权限 | 写入文件与文档 | 防止手机休眠 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VISUAL_USER_SELECTED | android.permission.READ_MEDIA_IMAGES
com.jlpay.merch,嘉联支付,金融理财/支付,嘉联支付有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 拍摄照片和视频 | 更改用户界面设置 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 控制媒体音量 | 装载和卸载文件系统 | 查阅敏感日志数据 | 获取手机信息 | 录音 | 写入文件与文档 | 控制振动器 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS | android.permission.READ_MEDIA_VISUAL_USER_SELECTED | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.POST_NOTIFICATIONS | “勿扰”模式使用权限 | 运行前台服务
www.mingya.cdapp,明亚经纪,金融理财/股票,明亚保险经纪股份有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 选择窗口小部件 | 绑定到窗口小部件服务 | 开关蓝牙 | 蓝牙管理 | 拨打电话 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 计算应用程序存储空间 | 检索当前运行的应用程序 | 结束后台进程 | 控制媒体音量 | 装载和卸载文件系统 | 查阅敏感日志数据 | 获取手机信息 | 读取您的个人资料数据 | 开机时自动启动 | 录音 | 写入文件与文档 | 在闹钟中设置警报 | 以悬浮窗的形式显示 | 使用帐户的身份验证凭据 | 控制振动器 | 防止手机休眠 | 更改/拦截网络设置和流量 | 添加/修改日历活动 | 修改系统设置项 | 访问日历 | 读取文件与文档 | 添加桌面快捷方式 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 后台位置权限 | android.permission.MANAGE_DOCUMENTS | 运行前台服务
com.baoding.mobilebank,保定银行,金融理财/银行,保定银行股份有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 拨打电话 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 装载和卸载文件系统 | 读取联系人 | 获取手机信息 | 录音 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 读取文件与文档 | android.permission.USE_FINGERPRINT | android.permission.USE_BIOMETRIC | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | android.permission.QUERY_ALL_PACKAGES | 管理所有文件 | 连接到配对的蓝牙设备 | 运行前台服务
